Gene_Symbol	Probe_Id
LOC652115	ILMN_1779915
LOC100128765	ILMN_3232912
RCE1	ILMN_1685002
RCE1	ILMN_2337492
LOC650853	ILMN_1663657
C14orf48	ILMN_1668914
LOC100128156	ILMN_3271300
FAM178A	ILMN_3232080
LOC441511	ILMN_1674201
TCEA1	ILMN_2357770
FOSB	ILMN_1751607
LOC389332	ILMN_3239643
LOC390387	ILMN_1785462
CCNYL1	ILMN_1810069
CCNYL1	ILMN_2166524
LOC643430	ILMN_1718542
ZNF678	ILMN_2095789
KIAA1217	ILMN_1706960
DEPDC4	ILMN_2135527
LOC728728	ILMN_3302350
LOC650268	ILMN_1773301
LOC440055	ILMN_1700316
LOC645293	ILMN_1682520
SAPS2	ILMN_1655922
AP3S1	ILMN_2311761
ASB5	ILMN_1711269
ASB5	ILMN_2126055
LOC285548	ILMN_3237884
LOC653366	ILMN_1662792
LOC641841	ILMN_1716579
ARHGAP21	ILMN_1811592
COIL	ILMN_1688034
FLYWCH1	ILMN_1690035
LOC653468	ILMN_1678390
LOC643873	ILMN_3206312
LOC283155	ILMN_3214761
TUBA3D	ILMN_2215640
TUBA3D	ILMN_2215639
TMEM60	ILMN_1752213
KLHDC8B	ILMN_1695246
LOC441119	ILMN_1681076
MGLL	ILMN_1738589
MGLL	ILMN_1657708
RASSF4	ILMN_1708890
RASSF4	ILMN_1690566
GAD2	ILMN_1728301
LOC643431	ILMN_1813131
LOC650549	ILMN_1653077
STMN4	ILMN_1731397
LOC653066	ILMN_1759870
RLN2	ILMN_1744887
L3MBTL4	ILMN_1775646
KCNJ15	ILMN_2396903
CXADRP2	ILMN_3247405
SGSM1	ILMN_1661939
SGSM1	ILMN_1762207
TFG	ILMN_1812474
RNF125	ILMN_1747192
CCNB1IP1	ILMN_2260833
CCNB1IP1	ILMN_2347349
OSR2	ILMN_1654732
OSR2	ILMN_1737715
LOC100129717	ILMN_3264629
LOC100129717	ILMN_3188162
MTL5	ILMN_2389528
LOC100130855	ILMN_3190707
P704P	ILMN_1793950
RAB19	ILMN_1785297
PSG9	ILMN_1801776
CLN3	ILMN_1669281
LOC652624	ILMN_1672961
SLC8A1	ILMN_1699520
ANKS1B	ILMN_1758392
WFDC13	ILMN_1723113
LOC642072	ILMN_1720255
WWP2	ILMN_1668847
DDX6	ILMN_1777340
LOC727851	ILMN_1797281
LOC651401	ILMN_1672600
MGC16703	ILMN_1652940
STAT4	ILMN_1785202
LOC644544	ILMN_1696468
C10orf91	ILMN_1802702
C21orf121	ILMN_1697872
SMARCB1	ILMN_2403458
SMARCB1	ILMN_1758823
LOC100132859	ILMN_3235556
LOC390712	ILMN_1656882
TNFRSF12A	ILMN_1689004
TUBB1	ILMN_1710280
ZNF829	ILMN_2157843
ZNF829	ILMN_1718259
ZNF829	ILMN_1712605
LOC389286	ILMN_2170625
LUZP5	ILMN_1669826
C19orf31	ILMN_2233279
C19orf31	ILMN_1782782
RAMP1	ILMN_1764754
LOC730820	ILMN_1719344
WDR45L	ILMN_1685763
SNW1	ILMN_1688413
PRIM1	ILMN_1694502
TFB2M	ILMN_2067708
TFB2M	ILMN_2067709
LOC100128989	ILMN_3182304
LOC644844	ILMN_1661078
LRRC31	ILMN_1803528
LOC642918	ILMN_1703425
LOC730011	ILMN_3303993
RABL3	ILMN_1662306
PRAMEF4	ILMN_2221769
PRAMEF4	ILMN_2221768
LOC100133599	ILMN_3233395
LOC100133599	ILMN_3290293
KNG1	ILMN_1753729
VGLL3	ILMN_1714586
PHB2	ILMN_1696087
TFF3	ILMN_1811387
EFNA4	ILMN_1665696
TRPC7	ILMN_1683909
LOC647910	ILMN_1717013
OR7C1	ILMN_1729874
LOC644836	ILMN_1752320
LOC729698	ILMN_3244617
LCN12	ILMN_1769116
PLA2G2A	ILMN_1740586
LOC100170939	ILMN_3238814
PIKFYVE	ILMN_1742197
QPCT	ILMN_2113049
QPCT	ILMN_1741727
LOC732445	ILMN_3237574
LOC647190	ILMN_1670177
C11orf65	ILMN_2045800
LOC652200	ILMN_1664724
CECR1	ILMN_1686283
LOC644571	ILMN_1673104
NAPSA	ILMN_1784040
C7orf20	ILMN_1681057
IGSF3	ILMN_1704353
MGC42630	ILMN_1716555
LOC100130705	ILMN_3271831
IQSEC3	ILMN_1758928
MAPK8IP2	ILMN_2262930
MAPK8IP2	ILMN_2351262
MTHFD1	ILMN_1785324
ITGB1BP3	ILMN_1776850
ITGB1BP3	ILMN_1656812
LOC391347	ILMN_1654185
CCDC74B	ILMN_1747655
CCDC74B	ILMN_3251383
BCR	ILMN_1669663
DAD1L	ILMN_3235467
C8orf54	ILMN_1788415
CD177	ILMN_3251610
CD177	ILMN_1774071
SPATA4	ILMN_2195892
KAT2A	ILMN_1782247
LOC728608	ILMN_1690583
LOC100128267	ILMN_3233698
LOC650107	ILMN_1736872
LOC100131172	ILMN_3205258
SSX4	ILMN_1791645
SPHAR	ILMN_1718832
MIR1-2	ILMN_3309001
MEF2B	ILMN_2068202
MMP17	ILMN_1651470
FBP1	ILMN_1728799
LOC653145	ILMN_1656074
CLEC2A	ILMN_1779144
LOC648763	ILMN_1664601
PECAM1	ILMN_1689518
LOC647839	ILMN_1661344
GRM8	ILMN_1729212
C9orf11	ILMN_1751069
PDHA1	ILMN_1772369
SULT1A1	ILMN_1778756
SULT1A1	ILMN_1656900
SULT1A1	ILMN_1657302
LOC732275	ILMN_1656257
LOC643203	ILMN_1760033
CASP3	ILMN_2388155
LOC400499	ILMN_2215355
LOC400499	ILMN_1728338
LOC197350	ILMN_1789871
HIBADH	ILMN_1804150
FAM41AY2	ILMN_3308168
LOC100132856	ILMN_3248645
UBE2J2	ILMN_1772712
LOC200261	ILMN_1673158
GABARAPL1	ILMN_2151281
LOC727849	ILMN_1722178
LOC727849	ILMN_1806103
DDX46	ILMN_1727001
CNNM1	ILMN_1657750
LOC100129002	ILMN_3179565
LOC100129002	ILMN_3256029
TFRC	ILMN_1674243
TMEM55A	ILMN_1752117
LOC649248	ILMN_1734968
AGPAT4	ILMN_1730504
SLA2	ILMN_2409720
DARS	ILMN_1813836
LOC402175	ILMN_3291709
ENTPD6	ILMN_1677955
ENTPD6	ILMN_2091792
FCAMR	ILMN_2206009
CD68	ILMN_2359907
CD68	ILMN_2267914
LOC100134634	ILMN_3248247
WDR77	ILMN_1742889
CASP8	ILMN_1673757
LOC650678	ILMN_1768933
KCNRG	ILMN_2404589
ACACA	ILMN_1772123
ACACA	ILMN_1667641
ZNF705D	ILMN_1781076
ZNF705D	ILMN_1653562
ZNF705D	ILMN_1742280
LOC339782	ILMN_1694220
LOC389641	ILMN_1713141
SEMA3A	ILMN_1765641
LOC650323	ILMN_1669167
LOC653800	ILMN_1700627
LOC100133173	ILMN_3245486
TCERG1	ILMN_1706839
TCERG1	ILMN_2289301
TCERG1	ILMN_2398039
SNORD97	ILMN_3242144
SOCS3	ILMN_2156250
SMG7	ILMN_1706553
SMG7	ILMN_1690469
ACSM3	ILMN_1685952
ACSM3	ILMN_1771084
DYNC1LI2	ILMN_1783448
LOC653050	ILMN_1746659
HINFP	ILMN_1776480
LUZP2	ILMN_1727101
LOC648615	ILMN_1811346
LOC388925	ILMN_3279964
LOC100130263	ILMN_3274014
LOC646785	ILMN_3210538
LOC646785	ILMN_3287033
ADRA1A	ILMN_1669227
NUP188	ILMN_1715416
LOC650528	ILMN_1726002
ZNF167	ILMN_1794597
MAST1	ILMN_1733366
SNORD49A	ILMN_3248562
LOC645535	ILMN_1704858
DACT3	ILMN_1733851
SCAND1	ILMN_2372011
LOC729744	ILMN_1657274
LOC729744	ILMN_1795744
LOC729744	ILMN_1663065
LOC646764	ILMN_1698552
LOC652900	ILMN_3242174
LOC139116	ILMN_1737247
MIR330	ILMN_3308158
MIR339	ILMN_3309189
GANC	ILMN_1812256
LOC100131509	ILMN_3238425
RPS6KL1	ILMN_1667125
LOC729444	ILMN_1697527
LOC729444	ILMN_1651351
LOC729444	ILMN_1663245
TMEM88	ILMN_1757129
LOC649030	ILMN_1684377
LOC651131	ILMN_1666087
TP53INP2	ILMN_1686906
MIR125B1	ILMN_3308118
CACNG6	ILMN_1809676
LOC643012	ILMN_1687202
MICAL1	ILMN_1807972
GPATCH1	ILMN_1655625
IMPACT	ILMN_1668432
ARHGAP28	ILMN_1797753
ARHGAP28	ILMN_1731178
CFHR3	ILMN_2071598
LOC649604	ILMN_1661399
ANKRD5	ILMN_1728957
PRMT3	ILMN_1662964
BTBD3	ILMN_1666653
SCARNA8	ILMN_3247159
STON1	ILMN_1668592
LOC650861	ILMN_1688776
PDLIM5	ILMN_2412281
RAB27A	ILMN_2329773
ALOX5AP	ILMN_1797875
ADAMTS13	ILMN_2286570
FLJ14186	ILMN_1743483
SCARNA10	ILMN_3246209
NCDN	ILMN_2359500
LOC647993	ILMN_1764654
CHR415SYT	ILMN_2088673
RDBP	ILMN_1765532
TRAK2	ILMN_1781691
LOC729028	ILMN_3300850
ZNF66	ILMN_3230253
RIOK1	ILMN_1670318
QDPR	ILMN_1672443
LOC641518	ILMN_1707904
LOC641518	ILMN_1702167
EPSTI1	ILMN_2388547
PTPN1	ILMN_1681591
APOM	ILMN_1731941
LOC730107	ILMN_3221072
LCN12	ILMN_2172933
GNAI1	ILMN_1742044
GNAI1	ILMN_2131467
PRRG3	ILMN_1652938
C6orf130	ILMN_1804834
INSC	ILMN_1756070
INSC	ILMN_2340643
LOC728484	ILMN_3225121
PHF15	ILMN_1795285
LOC651115	ILMN_1745490
SOX5	ILMN_2343677
SOX5	ILMN_1760051
ERP27	ILMN_1655261
TRAF2	ILMN_1691487
LOC646036	ILMN_1764153
SSX6	ILMN_2092943
LOC644237	ILMN_3283772
CCDC109A	ILMN_1672759
PRIM2	ILMN_1694100
PRR17	ILMN_1674924
LOC728554	ILMN_1688903
LOC728554	ILMN_1813246
LOC728554	ILMN_1691949
LOC729580	ILMN_3300198
LOC651126	ILMN_1803191
C17orf46	ILMN_1670707
TKTL2	ILMN_1713533
UNC50	ILMN_1766981
LOC100129630	ILMN_3191898
EPB41L1	ILMN_1684534
BAG5	ILMN_2361695
LOC100132596	ILMN_3244880
LGI1	ILMN_1788728
LGI1	ILMN_2171023
AFAP1L2	ILMN_1730995
DCTN1	ILMN_2412807
SENP5	ILMN_3251634
ZNF167	ILMN_1730696
ZNF167	ILMN_1761409
MRPL40	ILMN_1687403
FSCN2	ILMN_2364901
B3GNTL1	ILMN_1702817
PRSS22	ILMN_1776925
LOC642629	ILMN_1700394
CD69	ILMN_2188333
AGPAT1	ILMN_1779109
VSNL1	ILMN_1676413
LOC653219	ILMN_1782501
C20orf197	ILMN_1691228
TBCD	ILMN_1673376
TBCD	ILMN_1795400
XKR9	ILMN_1733846
PFN4	ILMN_1792383
MKNK2	ILMN_2347068
RBCK1	ILMN_2406313
LOC100134475	ILMN_3245431
LOC645320	ILMN_1700747
LRRC14	ILMN_1678998
THAP2	ILMN_2115553
LOC645307	ILMN_1776523
LOC645307	ILMN_3251327
LOC100132984	ILMN_3283434
HOXA13	ILMN_1731349
PLA2G4E	ILMN_2370862
RXRB	ILMN_1774074
SERPINA2	ILMN_1810166
SYNC1	ILMN_1771261
HSFY2	ILMN_1672935
HSFY2	ILMN_1688833
HSFY2	ILMN_2291534
HSFY2	ILMN_2291538
HSFY2	ILMN_2401946
HOXA6	ILMN_1815570
RNF130	ILMN_1729294
LOC391132	ILMN_3205762
LOC649041	ILMN_1728374
HISPPD2A	ILMN_2278686
DMAP1	ILMN_1773885
MAT2A	ILMN_1737298
ZFPM1	ILMN_1651438
RBM4	ILMN_1709042
RBM4	ILMN_1712455
SLBP	ILMN_1753353
SLBP	ILMN_2055700
LOC727753	ILMN_3281387
ARPC4	ILMN_1803183
RNF152	ILMN_1802248
LOC730288	ILMN_3235013
GSG2	ILMN_1709085
HERC1	ILMN_1786211
VLDLR	ILMN_2361862
HSPBL2	ILMN_3236821
LOC652054	ILMN_1709968
NEDD4L	ILMN_1733627
LINS1	ILMN_1669624
RB1	ILMN_1696591
DEFB117	ILMN_3307967
FAM81B	ILMN_1759679
EGFLAM	ILMN_1711346
CSAG3A	ILMN_1671808
CSAG3A	ILMN_2043126
SNORD109A	ILMN_3245599
CXCR6	ILMN_1674640
CBR4	ILMN_1813400
RRAD	ILMN_2186137
RRAD	ILMN_1683179
EYA1	ILMN_1747207
THAP1	ILMN_2301955
DVL1	ILMN_1678564
DVL1	ILMN_1657278
LOC645871	ILMN_1756914
KIR2DS1	ILMN_2166812
GTF3C6	ILMN_2074880
GTF3C6	ILMN_1691578
PKNOX2	ILMN_1807689
SLITRK2	ILMN_1795170
FAM27A	ILMN_3248078
GPC1	ILMN_1801516
OR5K4	ILMN_2161166
SREBF1	ILMN_2328986
C1orf35	ILMN_1790202
HAO1	ILMN_2211546
HAO1	ILMN_1674588
DDX51	ILMN_2215382
UCHL3	ILMN_1660111
BRD7P3	ILMN_3245301
IFLTD1	ILMN_1725833
IL5RA	ILMN_1756455
C5orf20	ILMN_1701911
LOC646667	ILMN_1696748
LRRC10	ILMN_1754558
RANBP2L1	ILMN_1793655
LOC100132202	ILMN_3247529
GJA3	ILMN_1731516
GJA3	ILMN_1876266
ATP8A2	ILMN_1693896
CUTA	ILMN_1712390
KIAA1751	ILMN_1763521
SNORD26	ILMN_1691550
IL22RA2	ILMN_1653324
IL22RA2	ILMN_1805385
LOC645332	ILMN_3239168
GYLTL1B	ILMN_1697916
MLX	ILMN_1792207
WDR34	ILMN_1685928
LOC388882	ILMN_1683149
LOC651609	ILMN_1763216
PTPRA	ILMN_1723156
MYO5B	ILMN_1747314
C15orf57	ILMN_1811264
LOC152084	ILMN_1802482
LOC100129413	ILMN_3270043
BTG1	ILMN_1775743
STRADB	ILMN_1701386
FBXO11	ILMN_1678404
FBXO11	ILMN_1733164
LOC643040	ILMN_1735127
INPP4A	ILMN_1655283
PDIA5	ILMN_1695763
PABPC1	ILMN_2136133
F7	ILMN_1740559
F7	ILMN_2358265
F7	ILMN_2267025
LOC643799	ILMN_1664336
LOC650155	ILMN_1658978
EIF2B4	ILMN_2356672
C2	ILMN_1710740
LOC255649	ILMN_1764244
RPS6KA4	ILMN_1756204
CHRM4	ILMN_1660882
LOC644079	ILMN_3294186
GGT7	ILMN_1737036
CXorf48	ILMN_1808984
GAS2L1	ILMN_1792777
C21orf42	ILMN_1668442
LCTL	ILMN_1763537
LOC643792	ILMN_1778223
LOC645396	ILMN_1672846
FLJ38717	ILMN_1771320
KRCC1	ILMN_2091375
KRCC1	ILMN_1745620
TRIP10	ILMN_2161746
FGF13	ILMN_1653826
ITPKB	ILMN_1700432
PTRH2	ILMN_2311548
LOC643266	ILMN_1812364
SPN	ILMN_1801040
SPN	ILMN_1658017
LOC641957	ILMN_1686759
LOC644962	ILMN_1689136
LOC157627	ILMN_3242710
MYO18A	ILMN_2330806
MYO18A	ILMN_1780560
LOC642622	ILMN_2136989
LOC641834	ILMN_1668334
SMARCA5	ILMN_1713163
MBD1	ILMN_2352580
MIR376C	ILMN_3310885
FLJ43980	ILMN_1741157
CGRRF1	ILMN_1681008
LOC644962	ILMN_1727523
LOC649292	ILMN_1689897
HOXA2	ILMN_1799836
HOXA2	ILMN_2107068
ADD1	ILMN_1759252
DRGX	ILMN_2245627
LOC653605	ILMN_1672854
GABRG2	ILMN_1800270
RNF20	ILMN_1710758
ENTPD3	ILMN_1775114
ENTPD3	ILMN_2087941
BVES	ILMN_1676294
OR52E4	ILMN_1734306
FAM69B	ILMN_1757440
FAM69B	ILMN_1718446
CLDN24	ILMN_3289458
CLDN24	ILMN_3212962
RBPJL	ILMN_1798870
ADARB1	ILMN_1679797
ADARB1	ILMN_1697628
LOC100134816	ILMN_3236760
SLC16A8	ILMN_1731165
EXOC5	ILMN_1788625
GEN1	ILMN_2206282
GEN1	ILMN_1680220
IMPDH2	ILMN_1705737
DEPDC1B	ILMN_1814600
DEPDC1B	ILMN_2103685
ZNF771	ILMN_1708632
NFE2L3	ILMN_2049766
LOC100133224	ILMN_3292892
LOC100133224	ILMN_3216382
SDCCAG3	ILMN_2380850
SDCCAG3	ILMN_1803997
CHRNA2	ILMN_1698849
TTRAP	ILMN_2183216
TTRAP	ILMN_1785821
MSL2	ILMN_2171102
NUCB1	ILMN_1722634
LOC400696	ILMN_1759989
TRIB3	ILMN_1787815
ARHGAP8	ILMN_2342851
PKLR	ILMN_1777031
PKLR	ILMN_1725172
LMO4	ILMN_1703487
LMO4	ILMN_2117171
TSPAN11	ILMN_1697810
TSPAN11	ILMN_2341524
GYPE	ILMN_1695187
GYPE	ILMN_1812163
LOC440225	ILMN_3250421
LOC648927	ILMN_3203874
LOC729135	ILMN_3248896
AKR1C2	ILMN_3237488
LOC652022	ILMN_1699790
RPL13A	ILMN_1713369
LOC100129480	ILMN_3254519
HSP90AB2P	ILMN_1698735
ALPL	ILMN_1701603
LOC100132306	ILMN_3238442
PHF19	ILMN_1713249
LOC643369	ILMN_1707218
LOC340096	ILMN_1767344
SLC30A5	ILMN_2258471
SLC30A5	ILMN_1709728
SLC30A5	ILMN_1664153
LOC100133692	ILMN_3243069
LOC399936	ILMN_3245156
PTX3	ILMN_1801842
VCL	ILMN_2413527
SAMD7	ILMN_1748150
OR6N2	ILMN_1724427
GTF2H2D	ILMN_3242688
MGC61598	ILMN_1658847
SLC35E4	ILMN_1803728
LOC649596	ILMN_1801435
LOC644950	ILMN_1675830
LOC100128819	ILMN_3249147
LOC645342	ILMN_1679342
CXCL12	ILMN_1803825
CXCL12	ILMN_1689111
CACNG5	ILMN_2242309
CACNG5	ILMN_1749402
OR2M7	ILMN_1655713
VTN	ILMN_1691127
LOC642370	ILMN_1786545
FLJ12355	ILMN_1697115
LOC644153	ILMN_3234121
GINS3	ILMN_1754272
LOC100132799	ILMN_3246195
MGC15885	ILMN_1785058
LOC100093631	ILMN_3239689
LOC642355	ILMN_1670716
LOC646508	ILMN_1805833
LOC649999	ILMN_1802834
WDFY3	ILMN_1697493
ZBTB11	ILMN_1691395
DDX11	ILMN_1712513
LOC645181	ILMN_3217610
LOC645181	ILMN_3294130
LOC643090	ILMN_1728564
LOC642509	ILMN_1712325
OR11G2	ILMN_1660978
TFPI	ILMN_1662619
TFPI	ILMN_1707124
LOC642397	ILMN_1677959
MMAB	ILMN_1872276
ZNF718	ILMN_2131926
MSMB	ILMN_2376313
LOC642245	ILMN_1751146
OR10J1	ILMN_1809964
DTX4	ILMN_1653678
TUBA3C	ILMN_1679482
KRTAP10-12	ILMN_1754009
NXF5	ILMN_1687265
SLC34A1	ILMN_1659991
KCTD18	ILMN_2150187
LOC729545	ILMN_3242293
LOC100134591	ILMN_3248472
ADAMTSL3	ILMN_1798690
COMP	ILMN_1677636
LOC606724	ILMN_1731804
LOC606724	ILMN_2125747
LOC652803	ILMN_1655529
C20orf86	ILMN_1751045
LOC730376	ILMN_3300802
LOC730376	ILMN_3224236
UGP2	ILMN_2389155
UGP2	ILMN_1654340
UGP2	ILMN_2284181
UGP2	ILMN_1671969
UGP2	ILMN_2389151
LOC100129826	ILMN_3252785
RNF103	ILMN_1692199
VISA	ILMN_2131493
LOC727895	ILMN_3217149
LOC727895	ILMN_3233993
PRKG1	ILMN_1693519
KLC1	ILMN_1654653
KLC1	ILMN_1726901
TAS2R3	ILMN_1718253
CEBPA	ILMN_1715715
AKR1B15	ILMN_2278335
LOC650028	ILMN_1775479
C1orf102	ILMN_1658206
CNOT1	ILMN_1677840
CNOT1	ILMN_1682501
CAMSAP1L1	ILMN_1792660
MAEA	ILMN_1689257
LRRC38	ILMN_1803801
MVP	ILMN_2344373
DKFZp686J0529	ILMN_1765945
COX10	ILMN_1670901
HDAC8	ILMN_1651544
GPR84	ILMN_1785345
LOC100133803	ILMN_3234547
ODF4	ILMN_1783656
GPR173	ILMN_1774813
GPR173	ILMN_1676447
GPR173	ILMN_2298028
MLF1	ILMN_1684439
LOC440871	ILMN_1706536
OR52B4	ILMN_1776846
LOC100132101	ILMN_3247050
LOC646350	ILMN_1738607
LECT1	ILMN_1722527
LOC388910	ILMN_1697373
BEND4	ILMN_1796574
BEND4	ILMN_3237256
BEND4	ILMN_1740094
SNORD103A	ILMN_3234751
LOC645001	ILMN_3280170
LOC645001	ILMN_3203666
LOC390282	ILMN_1657147
SNORA1	ILMN_3245893
APBB3	ILMN_1740772
LRFN5	ILMN_2139125
LOC100130141	ILMN_3187317
ZNF565	ILMN_1752380
LOC642450	ILMN_1773958
COLEC10	ILMN_1662962
SMNDC1	ILMN_1691789
ST20	ILMN_3301818
LOC100133263	ILMN_3292122
HNRNPA1L2	ILMN_1736894
LOC645296	ILMN_3234831
RAB11FIP4	ILMN_1681467
ARMC5	ILMN_1697088
LOC442382	ILMN_1677166
FSCN3	ILMN_1689635
LRRC7	ILMN_1810593
LOC728908	ILMN_3236935
LOC647193	ILMN_1723642
LOC283683	ILMN_1659327
LOC649971	ILMN_1659028
SYNCRIP	ILMN_1727740
EXOSC10	ILMN_1711189
EXOSC10	ILMN_1670796
LOC100129297	ILMN_3255931
LOC729623	ILMN_3246219
LOC100128975	ILMN_3185144
LOC100128862	ILMN_3188196
LOC646198	ILMN_1786213
IL28RA	ILMN_2405324
C6orf25	ILMN_1791889
LOC644763	ILMN_1667402
PHF20L1	ILMN_1727287
TRMT11	ILMN_1717854
TRMT11	ILMN_1805481
TRMT11	ILMN_1761148
NMD3	ILMN_1727348
